Company Name,Ticker,Last Close
"A.P. Moller-Maersk","AMKBY","8.605"
"Amkor Technology","AMKR","25.78"
"American Lithium","AMLI","1.93"
"Amylyx Pharmaceuticals","AMLX","25.56"
"AMN Healthcare Services","AMN","102.72"
"American National Bankshares","AMNB","29.69"
"Armanino Foods of Distinction","AMNF","4.15"
"Allied Motion Technologies","AMOT","36.91"
"Ameriprise Financial","AMP","312.97"
"AmpliTech Group","AMPG","2.49"
"Amphastar Pharmaceuticals","AMPH","45.88"
"Amplitude","AMPL","10.29"
"Altus Power","AMPS","5.22"
"Amprius Technologies, Inc.","AMPX","8.46"
"Amplify Energy","AMPY","7.25"
"Alpha Metallurgical Resources","AMR","148.24"
"Ameresco","AMRC","47.49"
"AMark Precious Metals","AMRK","37.29"
"Amarin","AMRN","1.26"
"Amneal Pharmaceuticals","AMRX","2.54"
"American Shared Hospital Services","AMS","2.68"
"American Superconductor","AMSC","6.67"
"AMERISAFE","AMSF","53.29"
"ams-OSRAM AG Unsponsored ADR","AMSSY","3.45"
"Amesite","AMST","3.69"
"American Software","AMSWA","13.43"
"American Tower","AMT","189.11"
"Amerant Bancorp","AMTB","19.8"
"AMTD IDEA Group","AMTD","1.67"
"Aemetis","AMTX","6.95"
"American Woodmark","AMWD","65.86"
"American Well","AMWL","2.61"
"America Movil, S.A.B. de C.V. Unsponsored ADR","AMX","22.38"
"","AMZA","32.7"
"Amazon.com","AMZN","126.61"
"AutoNation","AN","140.06"
"AnaptysBio","ANAB","18.76"
"The Andersons","ANDE","42.22"
"Anebulo Pharmaceuticals","ANEB","2.4869"
"Arista Networks","ANET","159.68"
"Abercrombie & Fitch","ANF","32.73"
"ANGHAMI INC","ANGH","1.05"
"Angi","ANGI","3.09"
"AngioDynamics","ANGO","10.16"
"Anika Therapeutics","ANIK","26.95"
"Acerinox","ANIOY","5.325"
"ANI Pharmaceuticals","ANIP","48.95"
"Anixa Biosciences","ANIX","3.51"
"Annexon","ANNX","3.22"
"Anta Sports Products","ANPDF","10.78"
"ANSYS","ANSS","325.59"
"AirMedia Group","ANTE","1.19"
"AN2 Therapeutics","ANTX","5.6"
"Annovis Bio","ANVS","13.83"
"Anzu Special Acquisition Corp I","ANZU","10.13"
"Arogo Capital Acquisition Corp.","AOGO","10.48"
"Africa Oil","AOIFF","2.19"
"Angel Oak Mortgage REIT Inc.","AOMR","7.53"
"Aon","AON","312.38"
"Aeon","AONNY","20.01"
"American Overseas","AOREF","175"
"Artivion","AORT","15.45"
"A. O. Smith","AOS","68.64"
"Alpha and Omega Semiconductor","AOSL","28.36"
"American Outdoor Brands","AOUT","7.89"
"AmpcoPittsburgh","AP","3.14"
"APA","APA","33.34"
"StoneBridge Acquisition","APAC","10.78"
"Artisan Partners Asset Management","APAM","34.74"
"AP Acquisition Corp.","APCA","10.64"
"Air Products and Chemicals","APD","278.5"
"Applied DNA Sciences","APDN","1.42"
"American Public Education","APEI","5.16"
"Alps Electric","APELY","17.7255"
"Aperam","APEMY","34.38"
"APi Group","APG","24.36"
"Apollo Strategic Growth Capital II","APGB","10.24"
"Amphenol","APH","77.5"
"Agora","API","3.06"
"Applied Digital Corporation","APLD","9.69"
"Apple Hospitality REIT","APLE","15.34"
"Apollomics Inc.","APLM","5.11"
"Apellis Pharmaceuticals","APLS","91.22"
"Applied Therapeutics","APLT","1.47"
"AxonPrime Infrastructure Acquisition Corporation","APMI","10.35"
"Apeiron Capital Investment Corp.","APNC","10.5"
"Aspen Pharmacare","APNHY","9.07"
"Apollo Global Management","APO","70.93"
"Apogee Enterprises","APOG","40.89"
"AppLovin","APP","23.3"
"AppFolio","APPF","155.53"
"Appian","APPN","46.04"
"Digital Turbine","APPS","9.21"
"Aprea Therapeutics","APRE","3.75"
"Alpha Pro Tech","APT","3.7799"
"Alaska Power & Telephone","APTL","73"
"Alpha Partners Technology Merger Corp.","APTM","10.3399"
"Aptose Biosciences","APTO","6.34"
"Aptiv","APTV","95.45"
"Aptevo Therapeutics","APVO","1.58"
"Asia Pacific Wire & Cable","APWC","1.68"
"APx Acquisition Corp. I","APXI","10.67"
"Apyx Medical","APYX","7"
"Aqua Metals","AQMS","1.08"
"Algonquin Power & Utilities","AQN","8.63"
"Aquestive Therapeutics","AQST","2.24"
"Aquaron Acquisition Corp.","AQU","10.57"
"Antero Resources","AR","20.98"
"ARAVIVE","ARAV","1.77"
"Accuray","ARAY","3.72"
"ARB IOT Group Limited","ARBB","3.54"
"Industrial Tech Acquisitions","ARBE","2.09"
"Aequi Acquisition","ARBG","10.18"
"Argo Blockchain","ARBK","1.27"
"ARC Document Solutions","ARC","2.97"
"Arcadis","ARCAY","44.7"
"ArcBest","ARCB","85.32"
"Ares Capital","ARCC","19.07"
"Arco Platform","ARCE","12.41"
"Arch Resources","ARCH","110.67"
"Arbor Rapha Capital Bioholdings Corp. I","ARCK","11.9"
"Arcos Dorados","ARCO","8.96"
"Arcturus Therapeutics Holdings","ARCT","26.75"
"Ardelyx","ARDX","3.73"
"Alexandria Real Estate Equities","ARE","118.22"
"American Resources","AREC","1.72"
"Arena Group","AREN","3.77"
"Ares Management","ARES","91.45"
"Argo Group","ARGO","29.34"
"Argenx","ARGX","400.34"
"Archon","ARHN","20.5"
"Arhaus, Inc.","ARHS","7.55"
"Apollo Commercial Real Estate Finance","ARI","10.93"
"Aris Water Solutions","ARIS","9.43"
"Arisz Acquisition Corp.","ARIZ","10.62"
"Arkema","ARKAY","89.83"
"ARKO","ARKO","7.95"
"Ark Restaurants","ARKR","17.95"
"American Realty Investors","ARL","18.47"
"Arlo Technologies","ARLO","9.71"
"Alliance Resource Partners","ARLP","17.75"
"Aramark","ARMK","41.02"
"Armata Pharmaceuticals","ARMP","1.57"
"Arconic","ARNC","28.89"
"Archrock","AROC","9.91"
"Arrow Financial","AROW","20.83"
"Centricus Acquisition","ARQQ","1.51"
"Arcutis Biotherapeutics","ARQT","8.62"
"ARMOUR Residential REIT","ARR","5.06"
"Amerigo Resources","ARREF","1.1185"
"Arrowroot Acquisition","ARRW","10.38"
"Array Technologies","ARRY","22.74"
"Artemis Strategic","ARTE","10.49"
"Arch Therapeutics","ARTH","3.2"
"Artelo Biosciences","ARTL","1.9"
"Artesian Resources","ARTNA","49.19"
"Art's-Way Manufacturing","ARTW","2.5606"
"Arrival","ARVL","3.29"
"Arvinas","ARVN","23.54"
"Arrow Electronics","ARW","130.74"
"Arrowhead Pharmaceuticals","ARWR","36.12"
"ARYA Sciences Acquisition Corp IV","ARYD","10.45"
"ARYA Sciences Acquisition Corp V","ARYE","10.3"
"","ASA","15.84"
"Sendas Distribuidora","ASAI","12.81"
"Asana","ASAN","23.08"
"Assa Abloy","ASAZY","11.5601"
"Associated BancCorp","ASB","16.52"
"Associated British Foods","ASBFY","23.16"
"Ardmore Shipping","ASC","12.13"
"A SPAC I Acquisition Corp.","ASCA","10.47"
"A SPAC II Acquisition Corp.","ASCB","10.505"
"Aisin Seiki","ASEKY","28.4"
"","ASG","5.22"
"Asahi Glass","ASGLY","7.356"
"ASGN","ASGN","70.27"
"Ashland Inc.","ASH","88.15"
"Ashtead Group","ASHTY","260.38"
"AdvanSix","ASIX","36.4"
"AerSale","ASLE","14.99"
"ASLAN Pharmaceuticals","ASLN","4.155"
"Assembly Biosciences","ASMB","1.1"
"ASM International","ASMIY","416.48"
"ASML Holding","ASML","716.63"
"Ascendis Pharma","ASND","92.22"
"Actelis Networks","ASNS","2.98"
"Academy Sports and Outdoors","ASO","49.42"
"ASOS PLS","ASOMY","4.46"
"Abri SPAC I","ASPA","10.69"
"Aspen Aerogels","ASPN","7.33"
"Altisource Portfolio Solutions","ASPS","4.81"
"Grupo Aeroportuario del Sureste","ASR","287.93"
"Assertio","ASRT","6.11"
"AmeriServ Financial","ASRV","2.78"
"Asset Entities Inc.","ASST","1.16"
"Astrotech","ASTC","11.6423"
"Astec Industries","ASTE","42.62"
"Legato Merger","ASTL","7.8"
"AST SpaceMobile","ASTS","5.83"
"Asure Software","ASUR","12.69"
"ASE Technology","ASX","8.42"
"Amtech Systems","ASYS","9.55"
"atai Life Sciences","ATAI","1.9"
"Aurora Technology Acquisition Corp.","ATAK","10.56"
"Altimar Acquisition III","ATAQ","10.22"
"Atour Lifestyle Holdings Limited Sponsored ADR","ATAT","15.76"
"Auto Trader Group","ATDRY","1.866"
"Alphatec","ATEC","15.34"
"Athena Technology Acquisition Corp. II","ATEK","10.35"
"A10 Networks","ATEN","14.59"
"Anterix","ATEX","33.27"
"Advantest","ATEYY","129.67"
"Adtalem Global Education","ATGE","42.13"
"Athira Pharma","ATHA","3.19"
"Prana Biotechnology","ATHE","2.81"
"Autohome","ATHM","30.05"
"Athersys","ATHX","1"
"ATI Inc.","ATI","38.48"
"ATIF","ATIF","1.65"
"Atkore","ATKR","131.94"
"Atlanticus","ATLC","38.07"
"Atlas Copco","ATLKY","14.76"
"Ames National","ATLO","18.76"
"Atlas Lithium Corporation","ATLX","22.27"
"AlphaTime Acquisition Corp.","ATMC","10.375"
"Atmus Filtration Technologies Inc.","ATMU","20.73"
"AlphaVest Acquisition Corp.","ATMV","10.37"
"180 Life Sciences","ATNF","1.25"
"ATN International","ATNI","39.29"
"Actinium Pharmaceuticals","ATNM","8.07"
"Atmos Energy","ATO","115.17"
"Atomera","ATOM","8.94"
"AptarGroup","ATR","114.32"
"Atara Biotherapeutics","ATRA","1.64"
"AtriCure","ATRC","48.39"
"Atrion","ATRI","548.99"
"Astronics","ATRO","17.34"
"Astronics","ATROB","16.95"
"ATS Corporation","ATS","45.72"
"Air Transport Services Group","ATSG","17.93"
"Atento","ATTO","2.57"
"Altice USA","ATUS","2.58"
"Activision Blizzard","ATVI","80.88"
"Avenue Therapeutics","ATXI","1.12"
"Astria Therapeutics","ATXS","12.55"
"AngloGold Ashanti","AU","24.6"
"Atlantic Union Bankshares","AUB","28.5"
"Auburn National Bancorporation","AUBN","21.9"
"Polymetal International","AUCOY","3"
"AudioCodes","AUDC","8.99"
"Augmedix","AUGX","4.06"
"Ault Alliance, Inc.","AULT","11.4"
"AU Optronics","AUOTY","6.22"
"Aurinia Pharmaceuticals","AUPH","10.44"
"Reinvent Technology Partners Y","AUR","1.52"
"Aura Biosciences","AURA","13.33"
"Aurora Acquisition","AURC","10.3412"
"Austin Gold Corp.","AUST","1.034"
"Autolus Therapeutics","AUTL","2.94"
"Applied UV","AUVI","1.82"
"Avista","AVA","41.25"
"Avalon Acquisition Inc.","AVAC","8.9"
"Aveanna Healthcare","AVAH","1.37"
"Grupo Aval Acciones y Valores","AVAL","2.44"
"AeroVironment","AVAV","98.75"
"AvalonBay Communities","AVB","183.07"
"Avidbank Holdings","AVBH","14.5"
"American Vanguard","AVD","17.88"
"Avadel Pharmaceuticals","AVDL","14.84"
"AvidXchange","AVDX","10.83"
"Broadcom","AVGO","790"
"Achari Ventures Holdings Corp. I","AVHI","10.58"
"Avid Technology","AVID","23.93"
"Advanced Info Service","AVIFY","6.01"
"Atea Pharmaceuticals","AVIR","4.39"
"Avanos Medical","AVNS","25.04"
"Avient","AVNT","40.07"
"Aviat Networks","AVNW","31.89"
"Mission Produce","AVO","12.83"
"AvePoint","AVPT","6.86"
"AVROBIO","AVRO","1.09"
"Avnet","AVT","44.6"
"Avantax, Inc.","AVTA","22.64"
"Aerovate Therapeutics","AVTE","16.3"
"Avantor","AVTR","19.78"
"Avalo Therapeutics","AVTX","3.01"
"Aviva","AVVIY","10.21"
"Anavex Life Sciences","AVXL","9.11"
"Avery Dennison","AVY","167.52"
"Alumina","AWCMY","3.755"
"","AWF","9.6"
"Aspira Women's Health","AWH","2.78"
"Armstrong World Industries","AWI","66.33"
"American Water Works","AWK","144.79"
"American States Water","AWR","90.57"
"Aware","AWRE","1.59"
"Avalon Holdings","AWX","2.275"
"Axos Financial","AX","42.03"
"Axa","AXAHY","29.2362"
"AxoGen","AXGN","8.97"
"American Axle & Manufacturing Holdings","AXL","7.32"
"Axonics","AXNX","49.17"
"Axon Enterprise","AXON","194.88"
"American Express","AXP","171.82"
"AMREP","AXR","15.14"
"Axis Capital Holdings","AXS","54.09"
"Axsome Therapeutics","AXSM","74.86"
"Axalta Coating Systems","AXTA","30.94"
"AXT","AXTI","3.57"
"Atlantica Sustainable Infrastructure PLC","AY","24.66"
"AMAYA Global","AYAG","4"
"Acuity Brands","AYI","160.65"
"Aytu BioPharma","AYTU","1.65"
"Alteryx","AYX","40.32"
"A2Z Smart Technologies Corp.","AZ","2.01"
"AZEK","AZEK","26.83"
"AstraZeneca","AZN","73.4"
"AutoZone","AZO","2323.05"
"Aspen Technology","AZPN","165.46"
"Azure Power Global","AZRE","2.24"
"Azenta","AZTA","44.72"
"AZUL","AZUL","12.27"
"Aziyo Biologics","AZYO","2.31"
"AZZ","AZZ","38.32"
"Barnes Group","B","41.5"
"Boeing","BA","207.29"
"Alibaba","BABA","86.7"
"Bank of America","BAC","29.23"
"Berenson Acquisition Corp. I","BACA","10.41"
"Bank of China","BACHY","10"
"Bridger Aerospace Group Holdings, Inc.","BAER","6.62"
"Bae Systems","BAESY","47.56"
"BayFirst Financial Corp.","BAFN","14.48"
"Balfour Beatty","BAFYY","9.2255"
"Booz Allen Hamilton","BAH","103.3"
"Braskem","BAK","10.06"
"Ball","BALL","54.63"
"Bally's","BALY","15.6"
"Brookfield Asset Management Ltd.","BAM","32.18"
"Bayerische Motoren Werke","BAMXF","113.97"
"Banc of California","BANC","12.31"
"Bandwidth","BAND","12.61"
"BancFirst","BANF","92.26"
"CBL International Limited","BANL","2.88"
"Banner","BANR","47.7"
"ArrowMark Financial","BANX","17.39"
"Baosheng Media Group Holdings","BAOS","5.4599"
"Credicorp","BAP","140.49"
"BARK","BARK","1.1"
"Couchbase","BASE","22.23"
"BASF","BASFY","12.56"
"Battalion Oil","BATL","6.32"
"Liberty Media","BATRA","37.91"
"Liberty Media","BATRB","42.04"
"Liberty Media","BATRK","36.7"
"Baxter International","BAX","40.96"
"Bayer","BAYRY","13.99"
"BlackBerry","BB","5.3"
"BigBear.ai","BBAI","2.15"
"BBVA Banco Frances","BBAR","5.24"
"Concrete Pumping Holdings","BBCP","6.99"
"Banco Bradesco","BBD","3.38"
"Barings BDC","BBDC","7.66"
"Banco Bradesco","BBDO","2.79"
"Beasley Broadcast Group","BBGI","1.05"
"","BBH","157.8"
"Vinco Ventures","BBIG","2.3"
"BridgeBio Pharma","BBIO","16.04"
"BB Seguridade Participacoes","BBSEY","6.326"
"Barrett Business Services","BBSI","88.46"
"Brookfield Business Partners","BBU","19.5"
"Banco Bilbao Viscaya Argentaria","BBVA","7.02"
"BuildABear Workshop","BBW","21.25"
"Bath & Body Works, Inc.","BBWI","40.38"
"Best Buy","BBY","74.35"
"Brunswick","BC","82.02"
"BioAtla","BCAB","3.66"
"Southern California Bancorp","BCAL","13.67"
"BlackRock Capital Allocation T","BCAT","15.3"
"BCB Bancorp  NJ","BCBP","11.64"
"Boise Cascade","BCC","77.12"
"BioCardia","BCDA","1.95"
"BCE","BCE","45.68"
"Atreca","BCEL","1.09"
"Banco De Chile","BCH","21.71"
"Beach Energy","BCHEY","19"
"Babcock International Group","BCKIY","3.63"
"Brainstorm Cell Therapeutics","BCLI","3"
"Bay Commercial Bank","BCML","17.32"
"Bank of Communications","BCMXY","17.5"
"Brink's","BCO","71.41"
"B Communications","BCOMF","4.05"
"Brightcove","BCOV","4.36"
"1895 Bancorp of Wisconsin","BCOW","6.6"
